id,Date,Comment,Usage,Label
45,20120528225059Z,xaxaxa you can ask your mom about it,PrivateTest,1
46,20120527204656Z,jimmy your pop ups and fly outs are the reason i can never be happy,PrivateTest,0
47,20120827042011Z,well i got on here but i think im might just get back off see you delusion fans later,PrivateTest,1
48,20120603184635Z,you are so strong,PrivateTest,0
49,20120601034031Z,coach please stop trying to explain this away the more you speaktweet the deeper your hole becomes,PrivateTest,0
50,20120529131056Z,learn reading comprehension sure urlacher is above average maybe even great as i said hes the dick butkus of your time in response to the it takes a team comment i just add that it is further proof that the bears suck as for chicago and politics do you really need to be told about the chicago way it influences everything even your crappy organization called the chicago bears,PrivateTest,1
51,20120602033315Z,your mom is better,PrivateTest,1
52,20120526233147Z,alyssa lookmatches your wall hanging you made,PrivateTest,0
53,20120528093734Z,justice over there thenare you watching england,PrivateTest,0
54,20120601015029Z,youre funny do you do stand up,PrivateTest,0
55,20120825203603Z,xano personal abuse from me unless you feel it applies to you and then youre very welcome pleasingly the text you quote supports what i said even if it didnt today it is thought that canut or cnut tried to command the waves the perception is the most important not the fact do you seennthere youve learned not to take things in a mechanical pedantic literal sense at least i hope youve learnedxa nnanton a part of your straining brain has indeed checked out nobody at home nnyour username reveals something of you nhope this helps,PrivateTest,1
56,20120602192954Z,man i agree with you shaunie fake ass with them even fake ass tear can cry me a river the bitch just like them to other rats are trying to save face,PrivateTest,1
57,20120528180337Z,well guess what i dont give a fuck lolxanis mom though get your english right nigga,PrivateTest,1
58,20120527211500Z,i finally figured out what that white shit is lmao dude bust a nut in her ass and she spit it out in the pool gross ass femalesxa,PrivateTest,0
59,20120527213607Z,desecratennnare you happy now,PrivateTest,0
60,20120602223513Z,yes you probably are,PrivateTest,0
61,20120601223807Z,you are certainly entitle to your opinion,PrivateTest,0
62,20120529073501Z,what kind of porn do you watch xathis isnt porn xa,PrivateTest,0
63,20120529030133Z,you must have great abs by now,PrivateTest,0
64,20120601154455Z,shouldnt you be at your ballet lesson little girl,PrivateTest,1
65,20120527161352Z,fucking red neck bitch,PrivateTest,0
66,20120603033808Z,keep whining like a little pu ssy mack you are making my day,PrivateTest,1
67,20120602193054Z,you been goofin w the bees,PrivateTest,0
68,20120529031754Z,um are you planning on getting married again,PrivateTest,0
69,20120531173030Z,you are living proof that bath salts effect thinking,PrivateTest,0
70,20120526233020Z,boy shut up im black i said biscuit cause i didnt want to say bitch so shut ur dumb ass up really bro get a life and get off my cat,PrivateTest,0
71,20120603034146Z,you must be pretty short bus window lickin special if you aint caught on buy now that iv been makein all the typos in these comments for shitz and giggles if not your as stupid as you think i am sure i made a mistake on the ecard but with bigger issues in the world like murder and abused kids i didnt think it was that bigga rats ass to freak out about hell im glad i made the mistake laughin at yall pinched ass bitches has been really cheap or is that cheepoh well entertainment is entertainment,PrivateTest,1
72,20120603112733Z,seems like you had a lot of fun,PrivateTest,0
73,20120824115819Z,nice supercam but plz release a device wid exynos chip lg is already on a line wid s quad krait stop using exynos nw n also upgrade ur mali gpu to it will be a slap on qualcomms face,PrivateTest,0
74,20120601002333Z,when you were potty training how did your mama convince you that you werent melting,PrivateTest,1
75,20120528061534Z,i bet you cant dance better you dum bitch stfu you proably mad a jamaican fucked you and left you you dum smut,PrivateTest,1
76,20120528094928Z,you are clearly stupid that is what he meant you thumb,PrivateTest,1
77,20120602003019Z,nrg you are wasting your time,PrivateTest,0
78,20120528181147Z,sounds like your mother,PrivateTest,1
79,20120602192828Z,fuck off indian makes u proud,PrivateTest,1
80,20120601063927Z,okay you made your point hanging around longer means you are flirting with the gay people here,PrivateTest,1
81,20120527031050Z,fuck you asshole do you like that,PrivateTest,1
82,20120529022655Z,span i dont care much for the lying degenerate bastardsspanrnthen how do you live wyourself,PrivateTest,1
83,20120826221345Z,well said we need more men like you thank youxa,PrivateTest,0
84,20120528070811Z,you would be gorg,PrivateTest,0
85,20120602223457Z,how do you feel about free elections,PrivateTest,0
86,20120601201009Z,expat you gotta be smoking some of barrys maui woowie,PrivateTest,1
87,20120602222641Z,this is america doom i have been waiting for you fat pepsi drinkingxaclownburgerxaeating losers to get destroyed by a superior power death to america,PrivateTest,1
88,20120603171516Z,oooh youre giving me a good laugh,PrivateTest,0
89,20120603043203Z,wait it says you are in,PrivateTest,0
90,20120529103355Z,are you talking about her underwear,PrivateTest,0
91,20120528180330Z,that must be a compliment from someone like you lol,PrivateTest,0
92,20120602222445Z,no you didnt talk about your iq,PrivateTest,0
93,20120527160951Z,rofl you are showing signs of desperation,PrivateTest,0
94,20120603171530Z,your statements are idiotic and juvenile,PrivateTest,1
95,20120531103037Z,sounds like your wife has a penswith you thats understandable,PrivateTest,1
96,20120529075422Z,theres a difference between nigga and nigger nigger is a racist term and everyone runs around saying saying nigga even in music now a days and if it was so bad you guys wouldnt be running around calling each other it thats like girls running around getting offended when you call them bitches yet they run around calling themselves bad bitches,PrivateTest,0
97,20120528070556Z,and you r sucking my dope dyck to hard take your fake ass chief keef face up the block,PrivateTest,1
98,20120531162551Z,youre not really going to watch are you,PrivateTest,0
99,20120529031458Z,its kindaxaembarrassingxawhen you diss a nigga this long and he just responding dont like him keep it moving and make hits we all know wayne fake anywayxa,PrivateTest,0
100,20120602223821Z,looks like you kath,PrivateTest,0
101,20120601181447Z,notice they were listed as good mannersnnfor childrennnwhich leaves me way in the fucking clear fuck erasmus anywayxa preachy old fuck,PrivateTest,0
102,20120603201403Z,aaronchiyou are too stupid to know sarcasm when it is in your faceconsider yourself castigated and get lost,PrivateTest,1
103,20120601002253Z,he does have that would you fuck me id fuck me look in his eyesxannjesus h fucking christ what is going on this week,PrivateTest,0
104,20120603090518Z,typical republicanaccept no blame for your repeated clusterfucks and blame anyone other than yourselvesnngrow up,PrivateTest,1
105,20120825101535Z,bettynmxaits too bad your not one of the idiots who can read as hes said its hidden and not buried as as outsider to your area i think its a shame that your so greedy that you dont want to share the beautiful of this land with others too you sound like a bitter sad person id take bad karma over that any dayxa,PrivateTest,1
106,20120531213646Z,oh like your not stupid you,PrivateTest,1
107,20120601162120Z,im sure your mom is proud of you,PrivateTest,0
108,20120531055356Z,rookierun on homeyour mommas calling,PrivateTest,1
109,20120602222622Z,your a f ucking idiot enjoy your dream world,PrivateTest,1
110,20120531130145Z,xayoure another fucking idiot who knows nothing about drugsnnwikipedia has the molecular fucking structure of a great many different illegal drugs fucko,PrivateTest,1
111,20120602141749Z,you can show me your trophy any time,PrivateTest,0
112,20120602215109Z,xayou spelled dickhead wrong,PrivateTest,0
113,20120603201513Z,u look like a damn fool,PrivateTest,1
114,20120824211843Z,leyland is a total idiot is he referring to the fact he is incapable of making a decisionn,PrivateTest,1
115,20120602214805Z,you must be very proud of yourself,PrivateTest,0
116,20120826230739Z,wowbendtner are you on drugsyou really fuckedup my day mentioning the name of such a crappy ass player with the gum in his mouth and playin like a lil bitch,PrivateTest,1
117,20120528233017Z,what is your problem why cant you just have normal and civil conversations come on please grow up so others can enjoy commenting,PrivateTest,0
118,20120602165300Z,where are you machynlleth or dundee,PrivateTest,0
119,20120601223833Z,just face it youre an idiot,PrivateTest,1
120,20120528145126Z,whatever soggybutt ill say it again you and your bunch of crackalaks derelectsriver rats and new south jackwagons need to learn some manners completely disrespectful and utterlyxaclassless,PrivateTest,1
121,20120529013437Z,obozonomoreugee your comments are sure enlightening,PrivateTest,1
122,20120601070802Z,while you lame asses watch e on your computer ill go to e in los angeles because i have my e badge and i didnt pay for shit d trololololololi tell you guys how the game is while im playing it and you will be watching d,PrivateTest,1
123,20120531032158Z,gotta keep up your strength to play and sing like you do,PrivateTest,0
124,20120527072648Z,xaover views fuck boyswallow that,PrivateTest,1
125,20120602201213Z,de trute are you south american,PrivateTest,0
126,20120603201706Z,you and the coon can drop trow,PrivateTest,1
127,20120603184628Z,you are the biggest idiot on these boards typical,PrivateTest,1
128,20120531055405Z,what are you smoking,PrivateTest,1
129,20120531194538Z,how old are you,PrivateTest,1
130,20120601014818Z,fyi who gives a shit its just a fricken typo youll live,PrivateTest,0
131,20120528180341Z,nenglish please you are in the united states,PrivateTest,0
132,20120531031917Z,xaxahow are you not ded,PrivateTest,1
133,20120529013802Z,you are such a good friend,PrivateTest,0
134,20120528233016Z,i use the word damn in a post and you reject it xahow about this fuck you,PrivateTest,1
135,20120602033354Z,girls need to learn when to shut up she is beautiful she knows it and thats all that really matters you dont know if she unhealthy be quiet with your words of hate we the majority of women are tired if the hate,PrivateTest,1
136,20120603171640Z,not unless you are a mormon in good standing,PrivateTest,0
137,20120827030012Z,xamore juvenile idiocy from a juvenile idiot,PrivateTest,1
138,20120531055350Z,oh look we have a little troll named igraymatter hey libfucktard why dont you go and perform an impossible act,PrivateTest,1
139,20120531043717Z,if you are a hikker gps logger ii would be a gps tracking of choice,PrivateTest,0
140,20120527204654Z,xai dont care how you feel i dont care what you think about me i am in fact the rational one in this conversation and you continued display of stupidity is more evidence of your blind allegiance to true source of change you poltroons think we need is marxism you idiots are plunging headlong to your own destruction and laughing and cheering about it you a pitiful pathetic spectacle,PrivateTest,1
141,20120601123205Z,i dont get your meaning would you explain,PrivateTest,0
142,20120528081049Z,you mean perfect but youre stupid how can you hate white people on the bases of bitches being stupid,PrivateTest,1
143,20120528095949Z,so could your comment,PrivateTest,0
144,20120603202526Z,you are amazing randy g,PrivateTest,0
145,20120528004816Z,stop trolling boy youre embarrassing beantown,PrivateTest,1
146,20120527213727Z,yes but you are not sure if you have anyone better than manningham,PrivateTest,0
147,20120824231824Z,just like the guys saidnnanother fake job wincey fraudy woods,PrivateTest,1
148,20120531215921Z,you are dumb,PrivateTest,1
149,20120529030049Z,just because you are attracted to other races doesnt mean you worship them,PrivateTest,0
150,20120527030915Z,you truly dont know what your talking about,PrivateTest,0
151,20120602165349Z,one of you is,PrivateTest,0
152,20120531032152Z,lebron can suck a dick,PrivateTest,0
153,20120603173507Z,xathe murder victim was not impaired just because you have drugs in your system does not mean you are impaired and the store manager did not think the murder victim was impaired you are lying scum,PrivateTest,1
154,20120527024911Z,and worse yetyou are ugly and old,PrivateTest,1
155,20120531185029Z,youre so cute,PrivateTest,0
156,20120825180855Z,nakedness should only be allowed in the streets by girls women aged between yrs oldxa yrs oldxa no fat girlsxa and no ugly girlsxa xa lol,PrivateTest,0
157,20120529130527Z,you dnt like lil b thats a first youre a faggot,PrivateTest,1
158,20120531113804Z,you are such an idit,PrivateTest,1
159,20120603041412Z,its because you slide so damn much,PrivateTest,0
160,20120603131638Z,whos the dumb one uh you grow up,PrivateTest,1
161,20120602002922Z,and youd be wrong too,PrivateTest,0
162,20120602142018Z,no but you are keep crying about that ghost that aint there,PrivateTest,0
163,20120531144435Z,or not listen to a racist like you,PrivateTest,1
164,20120527070310Z,youre smart,PrivateTest,0
165,20120602222743Z,shut the fuck up chiodo you know nothing about soccer,PrivateTest,1
166,20120603042925Z,xaas usual you are clueless,PrivateTest,1
167,20120529011355Z,at first i hated you now i kinda like your comments if you are kidding is good for me and if you truly believe that is even better i like all points of view and all personalities and yours is certainly unique,PrivateTest,0
168,20120528080937Z,bitch you were just callin all hispanics mexican what do you mean grandpa lipsxathats rascist as hell o lawwdddd im gonna have you lookin hard in the mirror after all this,PrivateTest,1
169,20120602124148Z,as usual pure hogwash no matter how many fake names you use you thick or what wacko was moron you lying loser fall into another league you dont read well do you you were taught the truth about wackos not so giving charities that were nothing but a front as usual idiot uou ignore the truth and post pure lies about the dead pedophile,PrivateTest,1
170,20120528200013Z,is it possible for you to focus,PrivateTest,0
171,20120603202401Z,i hatefaggots and god hatesfaggotsnnwhats the difference between a fag and a refrigeratorrefrigerators dont fart when you put the meat inxa,PrivateTest,0
172,20120529153435Z,you said over on nadal because of clay,PrivateTest,0
173,20120529163401Z,you are a law student,PrivateTest,0
174,20120527221353Z,xahite people are fucking animals all the evil and dirty shit yall do but yall pic every little thing a black person does and try to make us look bad when yall do the most crazy dumb and the most evil shit everyday,PrivateTest,0
175,20120529075848Z,all your comments so far have been retarded you should go somewhere else,PrivateTest,1
176,20120527004817Z,ill cut to the chase youre an idiot granted duke ironman nusholtz and realityczech may be dumber but you are borderline mentally retarded,PrivateTest,1
177,20120527031056Z,damnyou really must give af,PrivateTest,0
178,20120528191954Z,are you a registered massage therapist,PrivateTest,0
179,20120529144337Z,crushed that pussy ass nigga gaynexa,PrivateTest,0
180,20120601181644Z,shut up same tired comments you suck,PrivateTest,1
181,20120602124223Z,you must be a heat fan too right,PrivateTest,0
182,20120603112710Z,and if cameron said he was not backing hunt you would all be saying what a traitorous person he was for not backing his minister you really are all rather pitiable with your rantings,PrivateTest,1
183,20120529144122Z,i thought like pot you couldnt overdose on lsd xaany dose of either could fuck you up depending on your personality and constitution,PrivateTest,0
184,20120527195023Z,i loved his clean cut dick hoped i am there to suck it and lick and allow him to fuck me,PrivateTest,0
185,20120528001310Z,the cream of the cream wtf are you talking about kg,PrivateTest,1
186,20120528204320Z,dont get out of your cave much do you,PrivateTest,1
187,20120527140546Z,you are going to be so disappointedxa,PrivateTest,0
188,20120528081327Z,no way your dad is way to cool,PrivateTest,0
189,20120602033521Z,xayou are truly an idiotxa the man pitched a no hitterxa just shut up,PrivateTest,1
190,20120601120531Z,why are you a hunch back lol,PrivateTest,1
191,20120601000955Z,misha what is you,PrivateTest,0
192,20120527221053Z,you are a complete idiot robertpeole like you are why this country is losing freedom every daythis moron potus is in office,PrivateTest,1
193,20120601055054Z,dont let them get you down brother,PrivateTest,0
194,20120824160109Z,de eso no hay duda chavez el fraude institucional esta garantizado la maquinita de los votos esta completamente ajustada a su favornnnoticia seria si fuera algo diferente si la oposicion fuera la que ganarannla oposicion venezolana es completamente ingenua si piensa que puede ganarle en unas elecciones a chavez un hombre que tiene el control total de todos los poderes en venezuelannsi quieren que chavez salga del poder deben agarrar a chavez con su pijamita transparente subirlo en un helicoptero y tirarlo sin paracaida en el orinoconnsolo asi chavez sale del podernn,PrivateTest,0
195,20120603005900Z,there you are had to unfollow then follow you again to see your pins,PrivateTest,0
196,20120529073736Z,like if you have a diploma of any kindnncomment if your getting money with that white coke and its mob money over bitches and stop snitchin or making a rap career,PrivateTest,1
197,20120601154535Z,you must be hanging out with gucci,PrivateTest,0
198,20120825171216Z,jimmyproduce anything of any value that anyone wants or needs and youll find someone willing to trade with you for something you want or needxa its very simplenntip of the day whining is worthless,PrivateTest,1
199,20120826022111Z,pathetic she should be ashamed of herself if this is what it takes to get attention then she should go get a real life or crawl back under the rock from which she camexa,PrivateTest,1
200,20120601070734Z,you be nice now and dont you dare tell me youre a red head,PrivateTest,0
201,20120603071241Z,judging by your prior posts listed in your profile you are a piece of foul white trash what kind of animals raised you,PrivateTest,1
202,20120601203730Z,your mom smells like fish,PrivateTest,1
203,20120601220528Z,disqusxannxa xa youre an idiot where did it say anywhere in this article that he was a crooked cop oh thats right nowherequit being so quick to judge moron,PrivateTest,1
204,20120825125236Z,cellular enhancer or signal booster is becoming incredibly popular among cell phone users it will provide a better cell phone coverage in poor signal areas which is its main function,PrivateTest,0
205,20120825183204Z,you are some sad pathetic loser donkey,PrivateTest,1
206,20120529163754Z,whats a person who makes up stupid handles and trolls internet message boards a future star of an episode of hoarders maybe give away a dozen or of those cats you have in your moms basement,PrivateTest,1
207,20120529060324Z,shit man this shit sucks and its fucked up because they aint got anything else to sell,PrivateTest,0
208,20120527155235Z,you weak ass bitch,PrivateTest,1
209,20120601131357Z,hi where did you get your mask from and how much is it thank you,PrivateTest,0
210,20120529075409Z,i guarantee you are wrong no way in hell the refs call five ts on miami,PrivateTest,0
211,20120527031055Z,were fucked its too late nowxa,PrivateTest,0
212,20120529155955Z,good morning ugh headache rolls over in bed and snorts a line farts scratch head roll a joint and lights it up takes a shot of rumxagood morningxaxamy worthless little monkeys bickering amongst each other eating your own faeces while trying to make a pathetic point tis a baeutiful day for trolling insnt it how are you all this wonderful afternoon,PrivateTest,1
213,20120601220348Z,cats are fucking horrible creatures anyway that littlexauser deserves its outift,PrivateTest,0
214,20120601054917Z,xato be quite honest the platform be it xbox ps or pc really does not matter just as long as you have a passion for gaming and you enjoy gaming now stfu stupid fan boys stop bitching on the internet and get playing games,PrivateTest,1
215,20120825200113Z,yeah xayou are so boring teresa forgot about you while making a toast xa lol boring and fugly hubby,PrivateTest,1
216,20120602160955Z,lol you damn right,PrivateTest,0
217,20120602222639Z,pathetic little manxa cleanse your mindxa take your laxative,PrivateTest,1
218,20120531153339Z,what a dumb bitch dont you research your guests before they appear on your shownnhats off to martin for being a class act,PrivateTest,0
219,20120602033733Z,you did wear out your welcomenbsp,PrivateTest,1
220,20120601005925Z,you are going to go to hellxa,PrivateTest,1
221,20120601150946Z,and youve apparently neva been to school,PrivateTest,1
222,20120601163320Z,you sir are a complete ignoramus,PrivateTest,1
223,20120603121826Z,quit harassing mexa i know who you are just stopxa its pathetic,PrivateTest,1
224,20120529060017Z,hell naw i wasnt paying attention to what his fat ass said get off his dick,PrivateTest,1
225,20120527154914Z,fuck ross fuck saigon and fuck u bitch ass nigga who the fuck cares about musicits art imitating lifexa,PrivateTest,1
226,20120528222624Z,then so is yours,PrivateTest,0
227,20120602201018Z,look wilfred brimley are you really that stupid is your diebeetez acting up again you need to see a professional about the dementia you are suffering from communist state that is what you and the rest of the obamanites have created for the whole country and for that we salute you with a number with our middle fingers the reason that this country is going down the drain is because half of this country is as dumb i know that is really tough or dumber nearly impossible than you,PrivateTest,1
228,20120527024908Z,dam willynut your good,PrivateTest,0
229,20120527073138Z,plex whore must die,PrivateTest,0
230,20120528030129Z,yes nas u keep giving us good shit to jam to thank you real hiphop,PrivateTest,0
231,20120601224109Z,screw you bodine,PrivateTest,1
232,20120602051423Z,youll be proven wrong,PrivateTest,0
233,20120528043424Z,muthafucka its justin beiber not manny pacquiao hes a singer not a boxer lilttle white boy doesnt know shit about fighting that was probably his fist time even touch a glove,PrivateTest,1
234,20120603005806Z,they wont know unless you tell themxa,PrivateTest,0
235,20120527204419Z,lmao no dummy how many times you said bitch please i realize youre slower than dog shit but at least attemp to keep up lmao,PrivateTest,1
236,20120528200144Z,truth but are you rich isnt that a more relevant situation,PrivateTest,0
237,20120825231134Z,know who else doesnt seserve respsct xaignorant prejudiced close minded assholes like you pinkiesout,PrivateTest,1
238,20120529073502Z,aap autumn you stupid bitch its about countries not states,PrivateTest,1
239,20120603174724Z,leeanne so sorry for the down time our little server has been under the weather but its feeling fine now well try to prevent it from happening again,PrivateTest,0
240,20120601160327Z,youre an idiot just stop now,PrivateTest,1
241,20120527154919Z,you are stunningly beautifulexquisite in very waynand your fashion sense is outstanding your legs are to die for and i know great legs i have been in ballet for years and dont get me started about your truly lovely hair its perfect on youn,PrivateTest,0
242,20120527155139Z,you are not an american do you think landing here dry foot qualifies you as an american,PrivateTest,1
243,20120824190341Z,i really feel for you please tell me that you are just scutca posting under a different screen name and not really someone that has suchxalow self esteemxathat you idolise their intelligence,PrivateTest,1
244,20120824172808Z,really youre blaming the construction worker you are a monday morning quarterback douche,PrivateTest,1
245,20120531213611Z,xayou dont know until you try,PrivateTest,0
246,20120529013636Z,nba refs need to get off their high horses fuckingggg scum,PrivateTest,1
247,20120603121309Z,you must be an arsenal fan arent you,PrivateTest,0
248,20120529075738Z,white girls like it rough dont ask a nigga too smack ya ass then she aint say smack it soft,PrivateTest,0
249,20120602165352Z,sdjammer you are a true american idiot,PrivateTest,1
250,20120531032000Z,fuck it pens in,PrivateTest,0
251,20120601084717Z,so which village in uganda are you its idiot probably kampala,PrivateTest,1
252,20120527063146Z,you promised to lick my ass until my roids bleed so what happened are you still stuck with your daddys ball up your ass,PrivateTest,1
253,20120529144119Z,haha and you still live in the s,PrivateTest,0
254,20120603071142Z,how about you shut the fuck up if this was a seriously depressed person he would have tried to kill himself already your comments are always crappy and full of negativity stop,PrivateTest,1
255,20120531162432Z,you are a cocky little f a g so it will be extra sweet when the devils win the cupagain by the way,PrivateTest,1
256,20120602111924Z,you are too kind,PrivateTest,0
257,20120531215511Z,have you been to arkansas,PrivateTest,0
258,20120528030236Z,yes i guess you are,PrivateTest,0
259,20120528043443Z,ur fat and gay,PrivateTest,1
260,20120603113544Z,are you mossad,PrivateTest,0
261,20120601055111Z,you will name her stacy after your favorite person,PrivateTest,0
262,20120527004653Z,that fatass goober let xaa rapist out of prison so he could rape again and this time murder all of the witnesses fuck you huckabee,PrivateTest,1
263,20120528004415Z,hi nanahow are you today,PrivateTest,0
264,20120603034138Z,you must be a thunder fan the def havent been playing better than the spurs its been up and up imo only because of homecourt when the thunder beat the spurs at home their dangerous,PrivateTest,0
265,20120824182515Z,mock horror as in you didnt build that or that anyone should dare ask to tax returns from a presidential candidate please jennifer put away the pom poms and try to develop a sliver of objectivity after all you are supposed to be somewhat objective if not rational romney has repeatedly failed to condemn the looney element in his party he has absolutely no backbone and apparently lacks a filter on his mouth,PrivateTest,1
266,20120603042818Z,twas a good effort but some of your prior material was better d,PrivateTest,0
267,20120603071037Z,you obviously know jack about basket ball all your opinions are moot at this point,PrivateTest,1
268,20120826100849Z,meinsenkaye ha you idiot,PrivateTest,1
269,20120825140319Z,not what i was saying at all who let your retarded ass out of the basement,PrivateTest,1
270,20120825041934Z,why are you posing as a dodger fan idiot you might want to clear your history moron another skirts fan exposed,PrivateTest,1
271,20120601113315Z,seriously chelsea lol are you and harry harris related,PrivateTest,0
272,20120529103849Z,great shots chriswhat lens were you using,PrivateTest,0
273,20120601220415Z,yes lets be more like those countries you listnnzeig heil you white trash trailer rubbish,PrivateTest,1
274,20120601200757Z,youre welcomen,PrivateTest,0
275,20120825173218Z,well since feb any way now im just trying to get my hands on everything hes been in,PrivateTest,0
276,20120528093511Z,you are totally delusionalnn,PrivateTest,1
277,20120529020510Z,you compare israel with the nazi i dont agree my,PrivateTest,0
278,20120527031131Z,denise girlfriend you are the queen of jello shotsn,PrivateTest,0
279,20120601140617Z,thats funny because while you were mouthing off you clearly demonstrated your inability to spell it but thats to be expected of libtards who exist sans clue,PrivateTest,1
280,20120527221020Z,nahh i am not like this youre just pussy ass crackerstfu fag,PrivateTest,1
281,20120529144135Z,vote for barack obama because if you dont mitt romney will be your president,PrivateTest,0
282,20120529163538Z,niggas really comparing pushas braids to asap rockys hair braids fuck outta here with that fruitball talk i guess bone thugs was biting asap rocky in too huh smh,PrivateTest,0
283,20120603121650Z,woh sound like you have read all holy books,PrivateTest,0
284,20120527161121Z,red sox fans youre teamss attendance is pitiful and your fanbase is not knowledgablenrays fans yes but our team and manager are better than yoursnno need to bother reading the rest of the comments,PrivateTest,0
285,20120603183449Z,you are most welcome now lets see some icons,PrivateTest,0
286,20120528194057Z,lol you act like you have been watching basketball forever its only ben years moronn,PrivateTest,1
287,20120530223550Z,traitoryou are banished,PrivateTest,1
288,20120826013427Z,shame on you for using a sock puppet troll account,PrivateTest,1
289,20120824142015Z,louie would probably tell you to kill yourself,PrivateTest,1
290,20120528232910Z,weezy get moneyfuck what they talking bout,PrivateTest,0
291,20120528001100Z,watch yourself blck ggg i dont know who it is you are pointing this comment towards one words for you will have to be is xadisrespectful talk what you know because if you did you will now that everybody came from a black women so watch your god damn mouth,PrivateTest,0
292,20120602163355Z,who the hell died and left you boss xashut up you whiny ho,PrivateTest,1
293,20120603113607Z,are you working for the zimermans amyxa take your scam posts elsewhere,PrivateTest,1
294,20120528030325Z,are you from spain,PrivateTest,0
295,20120827003550Z,i keep forgetting how profoundly stupid this woman is until she opens her mouth or in this case gets a hold of a keyboard,PrivateTest,1
296,20120527213819Z,you are a moron get off the guys dick,PrivateTest,1
297,20120528100842Z,what are you talking aboutntotally off,PrivateTest,0
